Userlevel,OrganizationName,MailboxType,IsSubOU,Email,IsNewUser,MailboxPassword,MailboxSize,IsCR,IsChangePassword,FirstName,LastName,DisplayName,Country,State,OfficeLocation,Address,City,ZipCode,JobTitle,Company,Department,ManagedBy,BusinessPhone,Fax,HomePhone,MobilePhone,Pager,Notes
Host,debugorg.com,User,TRUE,user500@debugorg.com,TRUE,P@ssw0rd123345,1024,FALSE,TRUE,SubOUUsAerMbxLim,LN,SubOUUserMbxLim,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,TRUE,user501@debugorg.com,TRUE,P@ssw0rd123345,1024,TRUE,TRUE,SubOUUserMbxCR,LN,SubOUUserMbxCR,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,Shared,TRUE,user502@debugorg.com,TRUE,P@ssw0rd123345,1024,FALSE,TRUE,SubOUSharedMbxLim,LN,SubOUSharedMbxLim,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,Shared,TRUE,user503@debugorg.com,TRUE,P@ssw0rd123345,1024,TRUE,TRUE,SubOUSharedMbxCR,LN,SubOUSharedMbxCR,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,TRUE,user504@debugorg.com,TRUE,P@ssw0rd123345,1024,FALSE,TRUE,SubOUUsAerMbxLim1,LN,SubOUUserMbxLim1,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,managerSubOU@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,TRUE,user505@debugorg.com,TRUE,P@ssw0rd123345,1024,TRUE,TRUE,SubOUUserMbx1,LN,SubOUUserMbxCR1,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,managerSubOU@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,Shared,TRUE,user506@debugorg.com,TRUE,P@ssw0rd123345,1024,FALSE,TRUE,SubOUUserMbx1,LN,SubOUSharedMbxLim1,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,managerSubOU@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,Shared,TRUE,user507@debugorg.com,TRUE,P@ssw0rd123345,1024,TRUE,TRUE,SubOUUserMbx1,LN,SubOUSharedMbxCR1,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,managerSubOU@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,FALSE,user508@debugorg.com,TRUE,P@ssw0rd123345,1024,FALSE,TRUE,UserMbxLim,LN,UserMbxLim,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,FALSE,user509@debugorg.com,TRUE,P@ssw0rd123345,1024,TRUE,TRUE,UserMbxCR,LN,UserMbxCR,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,Shared,FALSE,user510@debugorg.com,TRUE,P@ssw0rd123345,1024,FALSE,TRUE,SharedMbxLim,LN,SharedMbxLim,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,Shared,FALSE,user511@debugorg.com,TRUE,P@ssw0rd123345,1024,TRUE,TRUE,SharedMbxCR,LN,SharedMbxCR,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,FALSE,existing1@debugorg.com,FALSE,,1024,FALSE,TRUE,ExistingMbxLim,LN,ExistingMbxLim,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
Host,debugorg.com,User,FALSE,existing2@debugorg.com,FALSE,,1024,TRUE,TRUE,ExistingMbxCR,LN,ExistingMbxCR,Pakistan,Islamabad,E11,206,Islamabad,44000,QA,HC,Dev,manager@debugorg.com,9.23E+11,9.23E+11,9.23E+11,9.23E+11,9.23E+11,Test Notes Data
