Userlevel,OrganizationName,MailboxType,Email,DisplayName,MailboxPassword,MailboxSize,IsCR,IMAP,POP,OWA,MAPI,IsChangePassword,FirstName,LastName,NewDisplayName,Country,State,OfficeLocation,Address,City,ZipCode,JobTitle,Company,Department,ManagedBy,BusinessPhone,Fax,HomePhone,MobilePhone,Pager,Notes,IsRetentionPolicy,RetentionPolicyDays,MailboxSignature,AdditionalEmailAddress,SetIsPrimary,SendOnBehalfUsers,FullAccessPermissionsUsers,SendAsPermissionsUsers,AcceptedSenders,RejectedSenders,ForwardingOU,ForwardingObject,ForwardingEmail,InternalMessage,ExternalMessage,IsHiddenFromAddressBook
host,debugorg.com,User,user500@debugorg.com,SubOUUserMbxLim,P@ssw0rd123345,1024,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUUserMbxLimUpdate1,LN1,SubOUUserMbxLim Update1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,440010,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123,TRUE,60,,user5000@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user501@debugorg.com,SubOUUserMbxCR,P@ssw0rd123345,1024,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUUserMbxCRUpdate1,LN1,SubOUUserMbxCR Update1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5001@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,Contact,basecontact@gmail.com,This is a test Iternal Message,This is a test External Message,TRUE
host,debugorg.com,User,user502@debugorg.com,SubOUSharedMbxLim,P@ssw0rd123345,1024,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUSharedMbxLimUpdate1,LN1,SubOUSharedMbxLim Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5002@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,List,forwardingdl@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user503@debugorg.com,SubOUSharedMbxCR,P@ssw0rd123345,1024,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUSharedMbxCRUpdate1,LN1,SubOUSharedMbxCR Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5003@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user504@debugorg.com,SubOUUserMbxLim1,P@ssw0rd123345,1024,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUUserMbxLim1Update1,LN1,SubOUUserMbxLim1 Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5004@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user505@debugorg.com,SubOUUserMbxCR1,P@ssw0rd123345,1024,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUUserMbxCR1Update1,LN1,SubOUUserMbxCR1 Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5005@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user506@debugorg.com,SubOUSharedMbxLim1,P@ssw0rd123345,1024,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUSharedMbxLim1Update1,LN1,SubOUSharedMbxLim1 Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5006@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user507@debugorg.com,SubOUSharedMbxCR1,P@ssw0rd123345,1024,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,SubOUSharedMbxCR1Update1,LN1,SubOUSharedMbxCR1 Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5007@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user508@debugorg.com,UserMbxLim,P@ssw0rd123345,1024,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,UserMbxLimUpdate1,LN1,UserMbxLim Update1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5008@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user509@debugorg.com,UserMbxCR,P@ssw0rd123345,1024,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,UserMbxCRUpdate1,LN1,UserMbxCR Update 1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5009@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
host,debugorg.com,User,user510@debugorg.com,SharedMbxLim,P@ssw0rd123345,1024,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,SharedMbxLimUpdate1,LN1,SharedMbxLimUpdate1,Pakistan,Islamabad,Islamabad,House 111,Islamabad,44000,Q1A,HC1,Dev1,manager2@debugorg.com,511221111,512211111,3458560918,3458569818,3458569818,Test Notes123456,TRUE,30,,user5010@debugorg.com,,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,user4@debugorg.com user96@debugorg.com,accepteduser@debugorg.com,rejecteduser@debugorg.com,debugorg.com,User,forwarding@debugorg.com,This is a test Iternal Message,This is a test External Message,FALSE
