Module,User Role,Test Name,Test Description,OU Name,Object Name,Email,Test Parameters,Test Status,Message Details
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user500@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user500@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user500@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user501@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user501@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user501@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user502@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user502@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user502@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user503@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user503@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user503@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user504@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user504@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user504@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user505@debugorg.com,SubOU: True; IsNewUser: True; IsCr: True; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user505@debugorg.com,,Passed,
Exchange,host,Verify New mailbox Advance Properties,Test to verify that the Advance Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user505@debugorg.com,,Passed,
Exchange,Host,Create Mailbox,Mailbox Creation Test,debugorg.com,Mailbox,user506@debugorg.com,SubOU: True; IsNewUser: True; IsCr: False; Mailbox/CR Size :1024,Passed,Success: Exchange mailbox created successfully.
Exchange,Host,Verify New mailbox General Properties,Test to verify that the General Properties set at the time of mailbox creation are set successfully,debugorg.com,Mailbox,user506@debugorg.com,,Passed,
